rule_name;rule_type;surface;breakability_u200b;score;description;expression;defined_in;defined_at_line
REPLICA_WATCH;body;body;likely;3.487 3.164 4.074 3.775;Message talks about a replica watch;/\breplica.{1,20}rolex/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;187
DEAR_WINNER;body;body;likely;3.099 3.099 2.309 3.099 # n=2;"Spam with generic salutation of ""dear winner""";/\bdear.{1,20}winner/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;871
DEAR_BENEFICIARY;body;body;likely;2.999 2.523 2.999 2.523;Dear Beneficiary:;/\b(?:De[ae]r\s|At+(?:ention|n):?\s?)(?:\S+\s)?Ben[ei]ficiary\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;865
DRUG_ED_CAPS;body;body;likely;2.799 1.023 2.516 0.936;Mentions an E.D. drug;/\b(?:CIALIS|LEVITRA|VIAGRA)/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_drugs.cf;65
FREE_QUOTE_INSTANT;body;body;likely;2.700 2.699 2.699 1.297 # n=2;Free express or no-obligation quote;/free.{0,12}(?:(?:instant|express|online|no.?obligation).{0,4})+.{0,32}\bquote/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;108
TVD_QUAL_MEDS;body;body;likely;2.697 2.397 2.799 2.483 # n=2;"The body matches phrases such as ""quality meds"" or ""quality medication""";/\bquality med(?:ication)?s\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;4659
DEAR_FRIEND;body;body;likely;2.683 2.604 1.801 2.577;Dear Friend? That's not very dear!;/^\s*Dear Friend\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;45
NO_MEDICAL;body;body;likely;2.199 1.254 2.199 1.773 # n=0;No Medical Exams;/\bno medical exam/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;121
MILLION_USD;body;body;likely;1.999 1.997 1.999 1.997;Talks about millions of dollars;/Million\b.{0,40}\b(?:United States? Dollars?|USD)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2852
ONE_TIME;body;body;likely;1.840 1.175 1.830 0.714 # n=0;One Time Rip Off;/\bone\W+time (?:charge|investment|offer|promotion)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;136
IMPOTENCE;body;body;likely;1.539 2.144 3.028 1.374;Impotence cure;/\b(?:impotence (?:problem|cure|solution)|Premature Ejaculation|erectile dysfunction)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;80
TVD_INCREASE_SIZE;body;body;likely;1.529 0.601 1.055 0.001 # n=1;Advertising for penis enlargement;/\bsize of .{1,20}(?:penis|dick|manhood)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;4624
NA_DOLLARS;body;body;likely;1.499 1.498 1.499 1.498;Talks about a million North American dollars;/\b(?:\d{1,3})?Million\b.{0,40}\b(?:Canadian Dollar?s?|US\$|U\.? ?S\.? Dollar)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;3100
GB_HASHBL_BTC;body;body;likely;1.000 4.329 1.000 4.329;Message contains BTC address found on BTCBL;eval:check_hashbl_bodyre('bl.btcblack.it', 'raw/max=10/shuffle/replace', '\b(?<!=)([13][a-km-zA-HJ-NP-Z1-9]{25,34}|bc<N1>[acdefghjklmnpqrstuvwxyz23456789<N0>]{30,62})\b');/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2053
BANG_GUAR;body;body;likely;1.0;Something is emphatically guaranteed;/\bguaranteed?\!/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;165
BODY_ENHANCEMENT;body;body;likely;0.927 1.611 0.974 0.001;Information on growing body parts;/\b(?:enlarge|increase|grow|lengthen|larger\b|bigger\b|longer\b|thicker\b|\binches\b).{0,50}\b(?:penis|male organ|pee[ -]?pee|dick|sc?hlong|wh?anger|breast(?!\s+cancer))/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;74
ONLINE_PHARMACY;body;body;likely;0.843 2.371 0.008 0.650;Online Pharmacy;/\bonline pharmacy|\b(?:drugs|medications) online/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_drugs.cf;78
